dev_id	total_seat
"220764-8181"	"200"
"220764-8182"	"167"
"220764-8275"	"127"
"220764-8276"	"125"
"220764-8277"	"114"
"220764-8278"	"128"
"220764-8719"	"61"
"220764-8727"	"101"
"220764-8731"	"102"
"220764-8735"	"93"
"220764-7800"	"125"
"220764-7807"	"102"
"220764-7811"	"74"
"220764-7815"	"126"
"220764-7959"	"109"
"220764-7960"	"123"
"220764-7961"	"95"
"220764-8430"	"125"
"220764-8431"	"121"
"220764-8432"	"72"
"220764-8433"	"88"
"220764-8424"	"96"
"220764-8425"	"94"
"220764-8426"	"54"
"220764-8427"	"54"
"220764-8428"	"60"
"220764-8481"	"119"
"220764-8482"	"127"
"220764-8483"	"141"
"220764-8484"	"127"
"220764-8799"	"99"
"220764-8800"	"102"
"220764-8801"	"84"
"220764-8803"	"89"
"220764-8451"	"109"
"220764-8452"	"109"
"220764-8453"	"109"
"220764-8454"	"109"
"220764-8455"	"109"
"220764-7249"	"114"
"220764-8494"	"92"
"220764-8496"	"131"
"220764-8497"	"132"
"220764-8375"	"160"
"220764-8376"	"145"
"220764-8377"	"112"
"220764-8378"	"135"
"220764-8379"	"134"
"220764-8299"	"112"
"220764-8300"	"132"
"220764-8301"	"88"
"220764-8302"	"74"
"220764-8286"	"141"
"220764-8287"	"107"
"220764-8288"	"175"
"220764-8290"	"144"
"220764-8343"	"151"
"220764-8344"	"114"
"220764-8389"	"145"
"220764-8390"	"145"
"220764-8391"	"145"
"220764-8392"	"136"
"220764-8393"	"113"
"220764-8470"	"126"
"220764-8472"	"128"
"220764-8465"	"111"
"220764-8466"	"86"
"220764-8467"	"80"
"220764-8468"	"92"
"220764-8169"	"109"
"220764-8170"	"109"
"220764-8171"	"105"
"220764-8172"	"126"
"220764-8003"	"81"
"220764-8004"	"83"
"220764-7018"	"76"
"220764-7019"	"172"
"220764-9075"	"137"
"220764-9079"	"135"
"220764-9083"	"132"
"220764-9087"	"114"
"220764-9091"	"135"
"220764-7260"	"223"
"220764-8262"	"138"
"220764-8263"	"52"
"220764-8264"	"118"
"220764-8265"	"96"
"220764-8266"	"167"
"220764-7131"	"103"
"220764-7979"	"87"
"220764-7981"	"155"
"220764-7982"	"185"
"220764-8855"	"122"
"220764-8861"	"109"
"220764-7933"	"95"
"220764-7934"	"98"
"220764-7935"	"98"
"220764-7936"	"87"
"220764-8475"	"151"
"220764-8477"	"150"
"220764-8478"	"139"
"220764-8479"	"140"
"220764-9000"	"127"
"220764-9006"	"132"
"220764-9010"	"133"
"220764-9014"	"134"
"220764-9018"	"134"
"220764-7992"	"72"
"220764-7993"	"101"
"220764-7994"	"92"
"220764-7995"	"103"
"220764-7969"	"128"
"220764-7970"	"114"
"220764-7264"	"90"
"220764-8486"	"95"
"220764-8487"	"119"
"220764-8488"	"103"
"220764-7685"	"139"
"220764-7686"	"141"
"220764-7687"	"141"
"220764-7688"	"139"
"220764-7689"	"104"
"220764-8214"	"131"
"220764-8215"	"127"
"220764-7136"	"117"
"220764-7899"	"101"
"220764-7900"	"82"
"220764-7901"	"134"
"220764-7902"	"120"
"220764-7722"	"148"
"220764-7732"	"148"
"220764-7736"	"146"
"220764-7740"	"139"
"220764-7943"	"114"
"220764-7944"	"137"
"220764-7947"	"101"
"220764-7948"	"130"
"220764-7949"	"143"
"220764-8617"	"121"
"220764-8658"	"118"
"220764-8659"	"163"
"220764-8660"	"132"
"220764-8490"	"139"
"220764-8491"	"125"
"220764-8492"	"100"
"220764-8444"	"159"
"220764-8445"	"159"
"220764-8446"	"136"
"220764-8449"	"158"
"220764-8839"	"92"
"220764-8976"	"79"
"220764-3839"	"55"
"220764-9124"	"89"
"220764-9125"	"122"
"220764-9126"	"98"
"220764-9127"	"108"
"220764-9140"	"260"
"220764-9132"	"99"
"220764-9133"	"79"
"220764-9134"	"119"
"220764-9135"	"124"
"220764-9202"	"137"
"220764-9203"	"104"
"220764-9204"	"96"
"220764-9205"	"73"
"220764-9207"	"75"
"220764-9151"	"123"
"220764-9152"	"121"
"220764-9153"	"120"
"220764-9154"	"120"
"220764-9155"	"127"
"220764-9156"	"116"
"220764-9234"	"116"
"220764-7602"	"69"
"220764-7607"	"69"
"220764-7615"	"69"
"220764-7620"	"59"
"220764-7625"	"78"
"220764-7630"	"77"
"220764-7454"	"134"
"220764-7463"	"283"
"220764-7467"	"239"
"220764-7475"	"79"
"220764-7471"	"212"
"220764-7479"	"40"
"220764-9288"	"177"
"220764-9166"	"224"
"220764-9176"	"115"
"220764-9178"	"188"
"220764-9180"	"114"
"220764-9182"	"188"
"220764-9184"	"157"
"220764-9289"	"293"
"220764-9290"	"152"
"220764-9291"	"200"
"220764-9292"	"202"
"220764-9293"	"293"
"220764-9294"	"177"
"220764-9295"	"177"
"220764-9296"	"292"
"220764-9297"	"200"
"220764-9298"	"200"
"220764-9299"	"153"
"220764-9300"	"293"
"220764-9301"	"177"
"220764-9302"	"33"
"220764-9313"	"143"
"220764-9314"	"143"
"220764-9315"	"143"
"220764-9316"	"143"
"220764-9317"	"301"
"220764-9318"	"301"
"220764-6992"	"230"
"220764-9242"	"226"
"220764-9243"	"230"
"220764-9244"	"232"
"220764-9245"	"220"
"220764-9246"	"260"
"220764-9247"	"166"
"220764-8674"	"174"
"220764-8680"	"192"
"220764-8681"	"168"
"220764-8682"	"168"
"220764-8683"	"245"
"220764-8684"	"245"
"220764-9258"	"148"
"220764-9259"	"148"
"220764-9323"	"109"
"220764-9261"	"109"
"220764-9262"	"109"
"220764-9263"	"123"
"220764-9264"	"123"
"220764-9265"	"148"
"220764-9266"	"148"
"220764-9267"	"148"
"220764-9338"	"49"
"220764-9305"	"139"
"220764-9306"	"130"
"220764-9307"	"262"
"220764-9308"	"140"
"220764-9309"	"77"
"220764-9310"	"22"
"220764-9410"	"49"
"220764-9248"	"301"
"220764-9249"	"317"
"220764-9250"	"125"
"220764-9251"	"183"
"220764-9252"	"270"
"220764-9253"	"251"
"220764-9280"	"151"
"220764-9281"	"151"
"220764-9282"	"150"
"220764-9283"	"150"
"220764-9284"	"151"
"220764-9285"	"117"
"220764-9430"	"294"
"220764-9431"	"294"
"220764-9432"	"143"
"220764-9433"	"143"
"220764-9434"	"131"
"220764-9435"	"143"
"220764-9268"	"143"
"220764-9269"	"143"
"220764-9407"	"308"
"220764-9270"	"308"
"220764-9271"	"212"
"220764-9272"	"179"
"220764-9614"	"62"
"220764-9616"	"98"
"220764-9617"	"108"
"220764-9618"	"108"
"220764-9730"	"0"
"220764-9732"	"0"
"220764-9733"	"0"
"220764-9734"	"0"
"220764-9735"	"0"
"220764-9326"	"127"
"220764-9216"	"128"
"220764-2694"	"247"
"220764-8072"	"81"
"220764-8076"	"107"
"220764-8079"	"82"
"220764-8082"	"82"
"220764-8088"	"83"
"220764-8090"	"81"
"220764-8092"	"81"
"220764-8094"	"95"
"220764-8096"	"95"
"220764-9632"	"423"
"220764-9637"	"116"
"220764-9642"	"116"
"220764-9662"	"116"
"220764-9669"	"193"
"220764-9673"	"80"
"220764-9677"	"80"
"220764-9681"	"80"
"220764-9685"	"80"
"220764-9924"	"55"
"220764-10213"	"95"
"220764-10214"	"312"
"220764-10215"	"147"
"220764-10216"	"235"
"220764-10217"	"158"
"220764-10218"	"214"
"220764-10219"	"40"
"220764-10223"	"107"
"220764-10232"	"342"
"220764-10233"	"202"
"220764-10234"	"198"
"220764-10235"	"147"
"220764-10236"	"141"
"220764-10237"	"40"
"220764-10246"	"123"
"220764-10259"	"333"
"220764-10260"	"200"
"220764-10261"	"209"
"220764-10262"	"133"
"220764-10263"	"154"
"220764-10264"	"40"
"220764-10247"	"108"
"220764-10283"	"340"
"220764-10284"	"40"
"220764-10285"	"200"
"220764-10286"	"201"
